1FDL_Name,1FDL_LON,1FDL_LAT,1FDL_RA,1FDL_DEC,1FDL_Flux1000,1FDL_68Conf_Radius,1FDL_95Conf_Radius,matched_DR2,DR2_Source_Name,DR2_GLON,DR2_GLAT,DR2_CLASS1,DR2_Flux1000,DR2_ASSOC1
1FDL J1047.9-5827,287.357759409868,0.632112315744383,161.985028097903,-58.4548687544943,2.1543371965871593e-08,0.0200581,0.03252266,True,4FGL J1048.2-5832,287.430114746094,0.573992192745209,PSR,2.542306098973768e-08,PSR J1048-5832
1FDL J0006.5+7306,119.637816780289,10.5237639565534,1.64810198952648,73.1080515617865,5.400062570247914e-08,0.021761905,0.035285253,True,4FGL J0007.0+7303,119.662628173828,10.4616804122925,PSR,6.66292834239357e-08,PSR J0007+7303
1FDL J1620.6-4929,333.866563733521,0.392665060053875,245.165697338529,-49.4860820471413,1.7007597134480615e-08,0.021972593,0.035626865,True,4FGL J1620.7-4927,333.891815185547,0.404478847980499,PSR,2.2252452325233207e-08,PSR J1620-4927
1FDL J1801.5-2453,5.28496780643764,-1.008545353543,270.388045991934,-24.8937101298257,6.645757345944653e-09,0.0376989079319552,0.0611258640738238,True,4FGL J1801.2-2450,5.29290676116943,-0.932140529155731,PSR,3.777581802921759e-09,PSR J1801-2451
1FDL J1311.9-3428,307.723853112848,28.2046591278205,197.983044320742,-34.4763290254924,6.632620180914013e-09,0.0305221607900901,0.0494893268289964,True,4FGL J1311.7-3430,307.688171386719,28.1739902496338,PSR,7.567811266540048e-09,PSR J1311-3430
1FDL J1615.9-5054,332.328137146155,-0.102051929178761,243.985923040155,-50.914839259955,6.579492436291964e-09,0.121240924351284,0.196582813770994,True,4FGL J1616.2-5054e,332.365142822266,-0.130940616130829,PWN,1.037795804847974e-08,HESS J1616-508
1FDL J1022.8-5745,284.140295440404,-0.406189433562488,155.723198439758,-57.7534405290836,1.3057310870894658e-08,0.0361640211264731,0.0586371649861515,True,4FGL J1023.0-5745,284.167663574219,-0.397838771343231,PSR,1.83624671024063e-08,PSR J1023-5746
1FDL J1429.8-5912,315.234755594294,1.28695443077155,217.454728617683,-59.21444147111,6.508876750616072e-09,0.0349354566334774,0.0566451511618136,True,4FGL J1429.9-5911,315.261688232422,1.30380833148956,PSR,1.3054304304205289e-08,PSR J1429-5911
1FDL J1521.7-5737,321.989089874445,-0.428948826974067,230.436877887396,-57.6291999016809,6.470472563149342e-09,0.0440802860142872,0.071472784938122,True,4FGL J1521.9-5735,322.036010742188,-0.411772042512894,PSR,1.0138191619546433e-08,PSR J1522-5735
1FDL J1634.2-4745,336.664652844581,-0.0327067917919506,248.567105550604,-47.7661170120159,2.091525750945824e-08,0.11449661,0.185647415,True,4FGL J1633.0-4746e,336.521148681641,0.116647228598595,spp,2.5967203498566963e-08,HESS J1632-478
1FDL J1710.8-3934,347.168031865969,0.0609715745279912,257.701666383885,-39.5807556139464,6.337350976801856e-09,0.0917658926433374,0.148791321294958,True,4FGL J1710.3-3943,347.005126953125,0.043479386717081,bcu,3.878179999361464e-09,GPSR 347.050+0.041
1FDL J2341.3+8016,119.869708674042,17.8235254040194,355.335982351447,80.2759211817978,3.1692475261568e-09,0.0340841881199547,0.0552648841886063,True,4FGL J2340.8+8015,119.843246459961,17.8143424987793,bll,1.9585657540233115e-09,1RXS J234051.4+801513
1FDL J1753.9-2538,3.77637983319322,0.0944495072099057,268.497097687393,-25.6475551139948,6.300942551834726e-09,0.0373720319176736,0.0605958668776527,True,4FGL J1753.8-2538,3.76581120491028,0.126933887600899,,8.430990128260873e-09,
1FDL J0112.0+2246,129.129190539355,-39.845677740198,18.0169267491458,22.7776991087766,6.296055678425544e-09,0.0302506866683844,0.0490491518797236,True,4FGL J0112.1+2245,129.147644042969,-39.8705368041992,BLL,7.982969840725218e-09,S2 0109+22
1FDL J1221.8+2812,201.892196641839,83.3664334020193,185.467474132767,28.2043897323115,6.2371553321903255e-09,0.0292643822350298,0.0474499365714044,True,4FGL J1221.5+2814,201.694152832031,83.2841262817383,bll,3.281504845631389e-09,W Comae
1FDL J1653.4-4349,341.824829224099,0.0181812972447038,253.362638198191,-43.8324309446537,6.2370209092417506e-09,0.0734783989484224,0.119139561907395,True,4FGL J1653.2-4349,341.803039550781,0.0577076375484466,,5.947649928117471e-09,
1FDL J1903.6+0519,39.0635452428608,-0.284370803813887,285.917757171029,5.32458403807739,6.219734407138442e-09,0.0737135504138614,0.11952083749197,True,4FGL J1903.8+0531,39.2643966674805,-0.244645655155182,spp,3.1703371039526473e-09,SNR G039.2-00.3
1FDL J1441.9-6003,316.317465092621,-0.0879752671221288,220.491016255692,-60.0555858062624,6.208282289606616e-09,0.076288420356824,0.123695783146399,True,4FGL J1442.2-6005,316.335327148438,-0.134422123432159,spp,3.451025243350614e-09,SNR G316.3-00.0
1FDL J0449.6-4349,248.788138184392,-39.8794851102299,72.406972336137,-43.8218585469837,6.143951348043002e-09,0.0295341049778202,0.0478872722751369,True,4FGL J0449.4-4350,248.804275512695,-39.9149436950684,bll,1.1330731020109397e-08,PKS 0447-439
1FDL J1823.0-1342,17.5268330248966,-0.0790396267307904,275.770063175787,-13.7123077100143,6.138029339379018e-09,0.0476536167880369,0.0772666691420694,True,4FGL J1823.3-1340,17.5964889526367,-0.114914298057556,,1.0302239950021884e-08,
1FDL J1223.8+8039,124.319555162184,36.4005191988931,185.966473678764,80.6533279580976,1.5404137976857594e-09,0.0399559750957684,0.0647855337033135,True,4FGL J1223.8+8039,124.31763458252,36.3941955566406,bll,1.071702948607367e-09,S5 1221+80
1FDL J0538.7-4403,250.049818094456,-31.0962063722481,84.6946425921592,-44.0589681768755,1.5269395636582466e-08,0.0220589372437672,0.0357668664083564,True,4FGL J0538.8-4405,250.083099365234,-31.0903759002686,BLL,1.7471711188932204e-08,PKS 0537-441
1FDL J2236.0+2830,90.0735380389504,-25.583693666067,339.015607437836,28.5155431084478,6.026694817164638e-09,0.0307166369649605,0.0498046626767704,True,4FGL J2236.3+2828,90.1194763183594,-25.6496162414551,fsrq,4.733951453061991e-09,B2 2234+28A
